iter	Logloss
0	0.5975509973
1	0.5521542364
2	0.498295651
3	0.4788437039
4	0.4487321385
5	0.4401836406
6	0.4344645593
7	0.4277649674
8	0.419801762
9	0.4161372387
10	0.4122188254
11	0.4060694598
12	0.4007382619
13	0.3944076809
14	0.3874144981
15	0.3844942317
16	0.3780930112
17	0.3756116432
18	0.3727054621
19	0.3695715525
20	0.3664125478
21	0.3655944157
22	0.3637734548
23	0.3616515293
24	0.3601361111
25	0.3571433963
26	0.3543796218
27	0.3524217401
28	0.3491482052
29	0.3456351788
30	0.3445208344
31	0.3421488648
32	0.3414417234
33	0.3408134913
34	0.3396137795
35	0.3351985705
36	0.3326318344
37	0.3315258756
38	0.3253965124
39	0.323737334
40	0.3222520266
41	0.3191552366
42	0.3188277416
43	0.3184403475
44	0.3170387666
45	0.3156224472
46	0.3151321947
47	0.3146217714
48	0.3144932896
49	0.3136382641
50	0.3129496133
51	0.312209538
52	0.3095296826
53	0.3092817253
54	0.3091929742
55	0.3073752738
56	0.3058608117
57	0.3044336275
58	0.3034855568
59	0.2996960309
60	0.2984942294
61	0.295519043
62	0.2944880199
63	0.2933320409
64	0.2923860732
65	0.2869938247
66	0.2851028927
67	0.2839903278
68	0.2823082064
69	0.2816114875
70	0.2795381032
71	0.2757422438
72	0.2748146639
73	0.2731842257
74	0.2727891937
75	0.2706424018
76	0.2702088518
77	0.269915955
78	0.2690634559
79	0.2663480602
80	0.2656483325
81	0.2650169962
82	0.2644710783
83	0.2621457331
84	0.260761626
85	0.2603130186
86	0.2582392908
87	0.2574052544
88	0.2556224852
89	0.2537833797
90	0.2536406463
91	0.2535504282
92	0.2533799262
93	0.2532879912
94	0.2528153479
95	0.2516170006
96	0.2497859507
97	0.2490668923
98	0.2481582777
99	0.248023994
