iter	Passed	Remaining
0	6	664
1	12	631
2	20	668
3	28	683
4	36	686
5	43	684
6	49	660
7	57	659
8	65	661
9	73	660
10	81	658
11	89	654
12	95	639
13	103	636
14	111	631
15	119	627
16	127	621
17	135	616
18	143	611
19	151	605
20	159	599
21	167	592
22	175	586
23	183	579
24	190	572
25	198	566
26	206	559
27	215	554
28	223	548
29	232	542
30	241	537
31	249	530
32	257	522
33	265	514
34	272	506
35	280	498
36	288	490
37	295	482
38	303	474
39	310	466
40	318	458
41	326	450
42	333	442
43	341	434
44	348	426
45	356	418
46	363	410
47	371	402
48	379	394
49	386	386
50	394	378
51	401	370
52	409	362
53	416	355
54	424	347
55	432	339
56	439	331
57	448	324
58	456	317
59	464	309
60	471	301
61	479	293
62	486	285
63	494	278
64	502	270
65	509	262
66	517	254
67	525	247
68	532	239
69	540	231
70	547	223
71	555	215
72	562	208
73	570	200
74	577	192
75	585	184
76	592	177
77	600	169
78	607	161
79	615	153
80	622	146
81	630	138
82	639	131
83	647	123
84	656	115
85	663	108
86	671	100
87	679	92
88	686	84
89	694	77
90	701	69
91	709	61
92	716	53
93	724	46
94	731	38
95	739	30
96	746	23
97	754	15
98	761	7
99	769	0
